Hora,Tempt
0,90.383333
1,92.883333
2,94.616667
3,95.083333
4,95.666667
5,95.983333
6,96
7,96.666667
8,94.3
9,85.366667
10,71.103333
11,62.265
12,55.621667
13,53.051667
14,51.25
15,52.168333
16,50.9
17,50.601667
18,49.235
19,47.783333
20,53.833333
21,68.696667
22,77.666667
23,81.55
24,83.016667
25,83.466667
26,82.133333
27,79.033333
28,78.883333
29,80.9
30,78.783333
31,73.866667
32,73.081667
33,68.903333
34,61.568333
35,57.618333
36,59.07
37,61.335
38,58.498333
39,55.666667
40,52.633333
41,50.753333
42,52.666667
43,55.466667
44,52.483333
45,55.816667
46,55.916667
47,55.816667
48,56.966667
49,58.75
50,61.6
51,66.266667
52,71.15
53,74.533333
54,76.9
55,78.383333
56,75.716667
57,68.65
58,61.218333
59,55.616667
60,50.516667
61,44.203333
62,41.051667
63,37.733333
64,36.466667
65,35.85
66,36.083333
67,36.846667
68,40.8
69,50.95
70,65.748333
71,72.033333
72,75.4
73,77.833333
74,81.533333
75,85.133333
76,87.383333
77,89.766667
78,89.866667
79,86.366667
80,69.438333
81,54.516667
82,47.116667
83,41.765
84,39.366667
85,36.233333
86,34.5
87,33.716667
88,32.066667
89,31.601667
90,31.916667
91,34.816667
92,37.746667
93,52.716667
94,62.333333
95,71.316667
96,75.216667
97,79.4
98,82.216667
99,80.542373